id,imdb_id,overview,tagline,title,vote_average,vote_count,movieId,imdbId,tmdbId,movieId,rating,timestamp,userId
862,tt0114709,"Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences.",,Toy Story,7.7,5415,1,114709,862,31,2.5,1260759144,1
8844,tt0113497,"When siblings Judy and Peter discover an enchanted board game that opens the door to a magical world, they unwittingly invite Alan -- an adult who's been trapped inside the game for 26 years -- into their living room. Alan's only hope for freedom is to finish the game, which proves risky as all three find themselves running from giant rhinoceroses, evil monkeys and other terrifying creatures.",Roll the dice and unleash the excitement!,Jumanji,6.9,2413,2,113497,8844,1029,3,1260759179,2
15602,tt0113228,"A family wedding reignites the ancient feud between next-door neighbors and fishing buddies John and Max. Meanwhile, a sultry Italian divorcée opens a restaurant at the local bait shop, alarming the locals who worry she'll scare the fish away. But she's less interested in seafood than she is in cooking up a hot time with Max.",Still Yelling. Still Fighting. Still Ready for Love.,Grumpier Old Men,6.5,92,3,113228,15602,1061,3,1260759182,3
31357,tt0114885,"Cheated on, mistreated and stepped on, the women are holding their breath, waiting for the elusive ""good man"" to break a string of less-than-stellar lovers. Friends and confidants Vannah, Bernie, Glo and Robin talk it all out, determined to find a better way to breathe.",Friends are the people who let you be yourself... and never let you forget it.,Waiting to Exhale,6.1,34,4,114885,31357,1129,2,1260759185,4
11862,tt0113041,"Just when George Banks has recovered from his daughter's wedding, he receives the news that she's pregnant ... and that George's wife, Nina, is expecting too. He was planning on selling their home, but that's a plan that -- like George -- will have to change with the arrival of both a grandchild and a kid of his own.",Just When His World Is Back To Normal... He's In For The Surprise Of His Life!,Father of the Bride Part II,5.7,173,5,113041,11862,1172,4,1260759205,5
949,tt0113277,"Obsessive master thief, Neil McCauley leads a top-notch crew on various insane heists throughout Los Angeles while a mentally unstable detective, Vincent Hanna pursues him without rest. Each man recognizes and respects the ability and the dedication of the other even though they are aware their cat-and-mouse game may end in violence.",A Los Angeles Crime Saga,Heat,7.7,1886,6,113277,949,1263,2,1260759151,6
11860,tt0114319,"An ugly duckling having undergone a remarkable change, still harbors feelings for her crush: a carefree playboy, but not before his business-focused brother has something to say about it.",You are cordially invited to the most surprising merger of the year.,Sabrina,6.2,141,7,114319,11860,1287,2,1260759187,7
45325,tt0112302,"A mischievous young boy, Tom Sawyer, witnesses a murder by the deadly Injun Joe. Tom becomes friends with Huckleberry Finn, a boy with no future and no family. Tom has to choose between honoring a friendship or honoring an oath because the town alcoholic is accused of the murder. Tom and Huck go through several adventures trying to retrieve evidence.",The Original Bad Boys.,Tom and Huck,5.4,45,8,112302,45325,1293,2,1260759148,8
9091,tt0114576,"International action superstar Jean Claude Van Damme teams with Powers Boothe in a Tension-packed, suspense thriller, set against the back-drop of a Stanley Cup game.Van Damme portrays a father whose daughter is suddenly taken during a championship hockey game. With the captors demanding a billion dollars by game's end, Van Damme frantically sets a plan in motion to rescue his daughter and abort an impending explosion before the final buzzer...",Terror goes into overtime.,Sudden Death,5.5,174,9,114576,9091,1339,3.5,1260759125,9
710,tt0113189,James Bond must unmask the mysterious head of the Janus Syndicate and prevent the leader from utilizing the GoldenEye weapons system to inflict devastating revenge on Britain.,No limits. No fears. No substitutes.,GoldenEye,6.6,1194,10,113189,710,1343,2,1260759131,10
9087,tt0112346,"Widowed U.S. president Andrew Shepherd, one of the world's most powerful men, can have anything he wants -- and what he covets most is Sydney Ellen Wade, a Washington lobbyist. But Shepherd's attempts at courting her spark wild rumors and decimate his approval ratings.",Why can't the most powerful man in the world have the one thing he wants most?,The American President,6.5,199,11,112346,9087,1371,2.5,1260759135,11
12110,tt0112896,"When a lawyer shows up at the vampire's doorstep, he falls prey to his charms and joins him in his search for fresh blood. Enter Dr. van Helsing, who may be the only one able to vanquish the count.",,Dracula: Dead and Loving It,5.7,210,12,112896,12110,1405,1,1260759203,12
21032,tt0112453,"An outcast half-wolf risks his life to prevent a deadly epidemic from ravaging Nome, Alaska.",Part Dog. Part Wolf. All Hero.,Balto,7.1,423,13,112453,21032,1953,4,1260759191,13
10858,tt0113987,"An all-star cast powers this epic look at American President Richard M. Nixon, a man carrying the fate of the world on his shoulders while battling the self-destructive demands within. Spanning his troubled boyhood in California to the shocking Watergate scandal that would end his presidency.","Triumphant in Victory, Bitter in Defeat. He Changed the World, But Lost a Nation.",Nixon,7.1,72,14,113987,10858,2105,4,1260759139,14
1408,tt0112760,"Morgan Adams and her slave, William Shaw, are on a quest to recover the three portions of a treasure map. Unfortunately, the final portion is held by her murderous uncle, Dawg. Her crew is skeptical of her leadership abilities, so she must complete her quest before they mutiny against her. This is made yet more difficult by the efforts of the British crown to end her pirate raids.",The Course Has Been Set. There Is No Turning Back. Prepare Your Weapons. Summon Your Courage. Discover the Adventure of a Lifetime!,Cutthroat Island,5.7,137,15,112760,1408,2150,3,1260759194,15
524,tt0112641,The life of the gambling paradise – Las Vegas – and its dark mafia underbelly.,No one stays at the top forever.,Casino,7.8,1343,16,112641,524,2193,2,1260759198,16
4584,tt0114388,"Rich Mr. Dashwood dies, leaving his second wife and her daughters poor by the rules of inheritance. Two daughters are the titular opposites.",Lose your heart and come to your senses.,Sense and Sensibility,7.2,364,17,114388,4584,2294,2,1260759108,17
5,tt0113101,It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.,"Twelve outrageous guests. Four scandalous requests. And one lone bellhop, in his first day on the job, who's in for the wildest New year's Eve of his life.",Four Rooms,6.5,539,18,113101,5,2455,2.5,1260759113,18
9273,tt0112281,"Summoned from an ashram in Tibet, Ace finds himself on a perilous journey into the jungles of Africa to find Shikaka, the missing sacred animal of the friendly Wachati tribe. He must accomplish this before the wedding of the Wachati's Princess to the prince of the warrior Wachootoos. If Ace fails, the result will be a vicious tribal war.",New animals. New adventures. Same hair.,Ace Ventura: When Nature Calls,6.1,1128,19,112281,9273,2968,1,1260759200,19
11517,tt0113845,"A vengeful New York transit cop decides to steal a trainload of subway fares; his foster brother, a fellow cop, tries to protect him.","Get on, or GET OUT THE WAY!",Money Train,5.4,224,20,113845,11517,3671,3,1260759117,20
